EN,RUS,TH,TH 2244/2828 (79.35%)
"Please, don't tell on me.","Прошу, не выдавай меня.",ขอร้อง อย่าบอกใครนะว่าเป็นฝีมือหนู,
This cave is huge!,Эта пещера просто огромная!,ถ้ำใหญ่จัง!,
"Whoa, that wasn't a minty refreshment at all.","Погодите, это совсем не мятная свежесть.",เหวอ ไม่ใช่ลูกอมรสมินต์สักหน่อย,
Echo!,Эхо!,เหินฟ้า!,
"Well, let's explore the cave!","Что ж, давай исследуем пещеру!",เอาล่ะ ไปสำรวจในถ้ำกัน!,
"Ok, ok, ok...","Давай, давай, давай...",ก็ได้ ก็ได้ ก็ได้...,
"I'm just joking, that was no echo, it was me!","Я шучу, это было не эхо, это - я!",ล้อเล่นน่า ไม่มีเสียงสะท้อนอะไรหรอก หนูทำเอง!,
"You're a real comedian, Misfortune.","Ты прирождённый комик, Неудача.",ตลกตัวจริงเลยนะเนี่ย ยัยตัวซวย,
Thank you.,Спасибо.,ขอบคุณนะ,
"Are you alright, Misfortune?","С тобой все хорошо, Неудача?",เป็นอะไรมั้ย ยัยตัวซวย?,
I'm ok...,Я в порядке...,หนูโอเคค่ะ...,
XXX? Talk about crazy!,XXX? Звучит безумно!,XXX? เรื่องสุดเหวี่ยงแน่เลย!,
What's this?! A hamster party?,Что это?! Хомячья вечеринка?,นี่อะไรกัน?! ปาร์ตี้แฮมสเตอร์หรอ?,
"Don't fight, you adorable things!","Не деритесь, прелестные создания!",อย่าทะเลาะกันนะ เจ้าตัวน่ารัก!,
There you go.,Вот так.,เอ้าเรียบร้อย,
"Oh please, sweetie, don't go!","Пожалуйста, малыш, не уходи!",โอ๊ะ เดี๋ยวสิตัวเอง อย่าหนีสิ!,
I don't want to get involved in their drama.,Не хочу ввязываться в их разборки.,หนูไม่อยากเข้าไปวุ่นวายกับดราม่าพวกเขาหรอก,
See? They went inside to party.,Видишь? Они пошли на вечеринку.,เห็นมั้ย? พวกเขาก็เข้าไปปาร์ตี้ด้วยกันอยู่ดี,
"Huh, the hamster dropped his fabulous bag... I wonder what's inside.","Хм, хомяк уронил свою потрясающую сумочку... Интересно, что внутри.",หือ เจ้าแฮมสเตอร์ทำกระเป๋าใบสวยนี่ตกไว้... ข้างในมีอะไรกันนะ,
[localvar:2],[localvar:2],[localvar:2],
A magical hamster party!,Волшебная хомячья вечеринка!,ปาร์ตี้แฮมสเตอร์สุดวิเศษ!,
Do I?! Can we go inside?,Правда?! Мы можем войти?,ได้หรอ?! เราเข้าไปข้างในได้มั้ย?,
I don't know... Let's go find out.,"Я не знаю... Пойдём, узнаем.",ไม่รู้สิ... ลองดูแล้วกัน,
"Of the game, you say?","Ты имеешь в виду, игры?",บอกว่าของเกมนี้หรอ?,
"Whoa, hamster fight!","Ого, драка хомяков!",เหวอ แฮมสเตอร์สู้กัน!,
Are you going to do something about it?,Ты собираешься что-нибудь предпринять?,จะลงมือทำอะไรสักอย่างไหม?,
It looks like someone spilled their ketchup!,"Кажется, кто-то пролил кетчуп!",ดูเหมือนจะมีคนทำซอสมะเขือเทศหกแหละ!,
That's the fastest way to the next level.,Это кратчайший путь на следующий уровень.,นั่นเป็นวิธีที่เร็วที่สุดในการไปยังเลเวลถัดไป,
Yes.,Да.,ช่าย,
Mmm-ok.,Ммм-хорошо.,อืมม โอเค,
I know you love parties!,"Я знаю, что ты любишь вечеринки!",ฉันรู้ว่าเธอน่ะชอบงานปาร์ตี้!,
You have to kiss and make up.,Вы должны поцеловаться и помириться.,พวกเธอต้องจุ๊บกันแล้วทำความเข้าใจกันสิ,
You dropped something!,Ты кое-что уронил!,เธอทำของตกไว้นะ!,
Look at them.,Посмотри на них.,ดูพวกนั้นสิ,
This is too cute for me.,Это слишком мило.,น่ารักเกินปุยมุ้ย,
With their tiny cocktails and their tiny clothing...,Эти крошечные коктейли и одёжка...,ไหนจะค็อกเทลแก้วจิ๋ว แล้วเสื้อผ้าตัวน้อยอีก...,
What was that?!,Что это было?!,นั่นอะไรน่ะ?!,
What?! Did I miss something?,Что?! Я что-то пропустил?,หืม?! ฉันพลาดอะไรไปรึเปล่า?,
I'm not sure...,Я не уверена...,หนูไม่แน่ใจเหมือนกัน...,
"Hey, Misfortune. We need to find a way out now.","Эй, Неудача. Нам нужно найти выход.",เฮ้ยัยตัวซวย ตอนนี้เราต้องหาทางออกไปให้ได้นะ,
